index,name,branch,zoom,upscale,preprocessing,unwrap_two_line,output
0,baseline,baseline,1.00,1,train_baseline,False,01_baseline.png
1,full_z0.85_up2_train_baseline,full,0.85,2,train_baseline,False,views/full/full_z0.85_up2_train_baseline.png
2,full_z0.85_up2_clahe_clip1_tile4,full,0.85,2,clahe_clip1_tile4,False,views/full/full_z0.85_up2_clahe_clip1_tile4.png
3,full_z0.85_up2_clahe_rl_deblur_bilateral,full,0.85,2,clahe_rl_deblur_bilateral,False,views/full/full_z0.85_up2_clahe_rl_deblur_bilateral.png
4,full_z0.85_up2_adaptive_noise_3way,full,0.85,2,adaptive_noise_3way,False,views/full/full_z0.85_up2_adaptive_noise_3way.png
5,full_z0.93_up2_train_baseline,full,0.93,2,train_baseline,False,views/full/full_z0.93_up2_train_baseline.png
6,full_z0.93_up2_clahe_clip1_tile4,full,0.93,2,clahe_clip1_tile4,False,views/full/full_z0.93_up2_clahe_clip1_tile4.png
7,full_z0.93_up2_clahe_rl_deblur_bilateral,full,0.93,2,clahe_rl_deblur_bilateral,False,views/full/full_z0.93_up2_clahe_rl_deblur_bilateral.png
8,full_z0.93_up2_adaptive_noise_3way,full,0.93,2,adaptive_noise_3way,False,views/full/full_z0.93_up2_adaptive_noise_3way.png
9,full_z1.00_up2_train_baseline,full,1.00,2,train_baseline,False,views/full/full_z1.00_up2_train_baseline.png
10,full_z1.00_up2_clahe_clip1_tile4,full,1.00,2,clahe_clip1_tile4,False,views/full/full_z1.00_up2_clahe_clip1_tile4.png
11,full_z1.00_up2_clahe_rl_deblur_bilateral,full,1.00,2,clahe_rl_deblur_bilateral,False,views/full/full_z1.00_up2_clahe_rl_deblur_bilateral.png
12,full_z1.00_up2_adaptive_noise_3way,full,1.00,2,adaptive_noise_3way,False,views/full/full_z1.00_up2_adaptive_noise_3way.png
13,full_z1.07_up2_train_baseline,full,1.07,2,train_baseline,False,views/full/full_z1.07_up2_train_baseline.png
14,full_z1.07_up2_clahe_clip1_tile4,full,1.07,2,clahe_clip1_tile4,False,views/full/full_z1.07_up2_clahe_clip1_tile4.png
15,full_z1.07_up2_clahe_rl_deblur_bilateral,full,1.07,2,clahe_rl_deblur_bilateral,False,views/full/full_z1.07_up2_clahe_rl_deblur_bilateral.png
16,full_z1.07_up2_adaptive_noise_3way,full,1.07,2,adaptive_noise_3way,False,views/full/full_z1.07_up2_adaptive_noise_3way.png
17,full_z1.15_up2_train_baseline,full,1.15,2,train_baseline,False,views/full/full_z1.15_up2_train_baseline.png
18,full_z1.15_up2_clahe_clip1_tile4,full,1.15,2,clahe_clip1_tile4,False,views/full/full_z1.15_up2_clahe_clip1_tile4.png
19,full_z1.15_up2_clahe_rl_deblur_bilateral,full,1.15,2,clahe_rl_deblur_bilateral,False,views/full/full_z1.15_up2_clahe_rl_deblur_bilateral.png
20,full_z1.15_up2_adaptive_noise_3way,full,1.15,2,adaptive_noise_3way,False,views/full/full_z1.15_up2_adaptive_noise_3way.png
21,unwrap_z0.93_up2_train_baseline,unwrap,0.93,2,train_baseline,True,views/unwrap/unwrap_z0.93_up2_train_baseline.png
22,unwrap_z0.93_up2_clahe_clip1_tile4,unwrap,0.93,2,clahe_clip1_tile4,True,views/unwrap/unwrap_z0.93_up2_clahe_clip1_tile4.png
23,unwrap_z0.93_up2_clahe_rl_deblur_bilateral,unwrap,0.93,2,clahe_rl_deblur_bilateral,True,views/unwrap/unwrap_z0.93_up2_clahe_rl_deblur_bilateral.png
24,unwrap_z0.93_up2_adaptive_noise_3way,unwrap,0.93,2,adaptive_noise_3way,True,views/unwrap/unwrap_z0.93_up2_adaptive_noise_3way.png
25,unwrap_z1.00_up2_train_baseline,unwrap,1.00,2,train_baseline,True,views/unwrap/unwrap_z1.00_up2_train_baseline.png
26,unwrap_z1.00_up2_clahe_clip1_tile4,unwrap,1.00,2,clahe_clip1_tile4,True,views/unwrap/unwrap_z1.00_up2_clahe_clip1_tile4.png
27,unwrap_z1.00_up2_clahe_rl_deblur_bilateral,unwrap,1.00,2,clahe_rl_deblur_bilateral,True,views/unwrap/unwrap_z1.00_up2_clahe_rl_deblur_bilateral.png
28,unwrap_z1.00_up2_adaptive_noise_3way,unwrap,1.00,2,adaptive_noise_3way,True,views/unwrap/unwrap_z1.00_up2_adaptive_noise_3way.png
29,unwrap_z1.07_up2_train_baseline,unwrap,1.07,2,train_baseline,True,views/unwrap/unwrap_z1.07_up2_train_baseline.png
30,unwrap_z1.07_up2_clahe_clip1_tile4,unwrap,1.07,2,clahe_clip1_tile4,True,views/unwrap/unwrap_z1.07_up2_clahe_clip1_tile4.png
31,unwrap_z1.07_up2_clahe_rl_deblur_bilateral,unwrap,1.07,2,clahe_rl_deblur_bilateral,True,views/unwrap/unwrap_z1.07_up2_clahe_rl_deblur_bilateral.png
32,unwrap_z1.07_up2_adaptive_noise_3way,unwrap,1.07,2,adaptive_noise_3way,True,views/unwrap/unwrap_z1.07_up2_adaptive_noise_3way.png
33,full_z0.85_up3_train_baseline,full,0.85,3,train_baseline,False,views/full/full_z0.85_up3_train_baseline.png
34,full_z0.85_up3_clahe_clip1_tile4,full,0.85,3,clahe_clip1_tile4,False,views/full/full_z0.85_up3_clahe_clip1_tile4.png
35,full_z0.85_up3_clahe_rl_deblur_bilateral,full,0.85,3,clahe_rl_deblur_bilateral,False,views/full/full_z0.85_up3_clahe_rl_deblur_bilateral.png
36,full_z0.85_up3_adaptive_noise_3way,full,0.85,3,adaptive_noise_3way,False,views/full/full_z0.85_up3_adaptive_noise_3way.png
37,full_z0.93_up3_train_baseline,full,0.93,3,train_baseline,False,views/full/full_z0.93_up3_train_baseline.png
38,full_z0.93_up3_clahe_clip1_tile4,full,0.93,3,clahe_clip1_tile4,False,views/full/full_z0.93_up3_clahe_clip1_tile4.png
39,full_z0.93_up3_clahe_rl_deblur_bilateral,full,0.93,3,clahe_rl_deblur_bilateral,False,views/full/full_z0.93_up3_clahe_rl_deblur_bilateral.png
40,full_z0.93_up3_adaptive_noise_3way,full,0.93,3,adaptive_noise_3way,False,views/full/full_z0.93_up3_adaptive_noise_3way.png
41,full_z1.00_up3_train_baseline,full,1.00,3,train_baseline,False,views/full/full_z1.00_up3_train_baseline.png
42,full_z1.00_up3_clahe_clip1_tile4,full,1.00,3,clahe_clip1_tile4,False,views/full/full_z1.00_up3_clahe_clip1_tile4.png
43,full_z1.00_up3_clahe_rl_deblur_bilateral,full,1.00,3,clahe_rl_deblur_bilateral,False,views/full/full_z1.00_up3_clahe_rl_deblur_bilateral.png
44,full_z1.00_up3_adaptive_noise_3way,full,1.00,3,adaptive_noise_3way,False,views/full/full_z1.00_up3_adaptive_noise_3way.png
45,full_z1.07_up3_train_baseline,full,1.07,3,train_baseline,False,views/full/full_z1.07_up3_train_baseline.png
46,full_z1.07_up3_clahe_clip1_tile4,full,1.07,3,clahe_clip1_tile4,False,views/full/full_z1.07_up3_clahe_clip1_tile4.png
47,full_z1.07_up3_clahe_rl_deblur_bilateral,full,1.07,3,clahe_rl_deblur_bilateral,False,views/full/full_z1.07_up3_clahe_rl_deblur_bilateral.png
48,full_z1.07_up3_adaptive_noise_3way,full,1.07,3,adaptive_noise_3way,False,views/full/full_z1.07_up3_adaptive_noise_3way.png
49,full_z1.15_up3_train_baseline,full,1.15,3,train_baseline,False,views/full/full_z1.15_up3_train_baseline.png
50,full_z1.15_up3_clahe_clip1_tile4,full,1.15,3,clahe_clip1_tile4,False,views/full/full_z1.15_up3_clahe_clip1_tile4.png
51,full_z1.15_up3_clahe_rl_deblur_bilateral,full,1.15,3,clahe_rl_deblur_bilateral,False,views/full/full_z1.15_up3_clahe_rl_deblur_bilateral.png
52,full_z1.15_up3_adaptive_noise_3way,full,1.15,3,adaptive_noise_3way,False,views/full/full_z1.15_up3_adaptive_noise_3way.png
53,unwrap_z0.93_up3_train_baseline,unwrap,0.93,3,train_baseline,True,views/unwrap/unwrap_z0.93_up3_train_baseline.png
54,unwrap_z0.93_up3_clahe_clip1_tile4,unwrap,0.93,3,clahe_clip1_tile4,True,views/unwrap/unwrap_z0.93_up3_clahe_clip1_tile4.png
55,unwrap_z0.93_up3_clahe_rl_deblur_bilateral,unwrap,0.93,3,clahe_rl_deblur_bilateral,True,views/unwrap/unwrap_z0.93_up3_clahe_rl_deblur_bilateral.png
56,unwrap_z0.93_up3_adaptive_noise_3way,unwrap,0.93,3,adaptive_noise_3way,True,views/unwrap/unwrap_z0.93_up3_adaptive_noise_3way.png
57,unwrap_z1.00_up3_train_baseline,unwrap,1.00,3,train_baseline,True,views/unwrap/unwrap_z1.00_up3_train_baseline.png
58,unwrap_z1.00_up3_clahe_clip1_tile4,unwrap,1.00,3,clahe_clip1_tile4,True,views/unwrap/unwrap_z1.00_up3_clahe_clip1_tile4.png
59,unwrap_z1.00_up3_clahe_rl_deblur_bilateral,unwrap,1.00,3,clahe_rl_deblur_bilateral,True,views/unwrap/unwrap_z1.00_up3_clahe_rl_deblur_bilateral.png
60,unwrap_z1.00_up3_adaptive_noise_3way,unwrap,1.00,3,adaptive_noise_3way,True,views/unwrap/unwrap_z1.00_up3_adaptive_noise_3way.png
61,unwrap_z1.07_up3_train_baseline,unwrap,1.07,3,train_baseline,True,views/unwrap/unwrap_z1.07_up3_train_baseline.png
62,unwrap_z1.07_up3_clahe_clip1_tile4,unwrap,1.07,3,clahe_clip1_tile4,True,views/unwrap/unwrap_z1.07_up3_clahe_clip1_tile4.png
63,unwrap_z1.07_up3_clahe_rl_deblur_bilateral,unwrap,1.07,3,clahe_rl_deblur_bilateral,True,views/unwrap/unwrap_z1.07_up3_clahe_rl_deblur_bilateral.png
64,unwrap_z1.07_up3_adaptive_noise_3way,unwrap,1.07,3,adaptive_noise_3way,True,views/unwrap/unwrap_z1.07_up3_adaptive_noise_3way.png
